api_internal_id,award_id,recipient,awarding_agency,amount_usd,description,award_base_date,last_modified_date
CONT_AWD_W58RGZ26F0294_9700_W58RGZ26G0062_9700,W58RGZ26F0294,"AEROVIRONMENT, INC",Department of Defense,157662.0,"IN ACCORDANCE WITH THE DIRECTIVES ESTABLISHED IN DEPT OF WAR MEMORANDUM DATE 10 JULY 2025, IN SUPPORT OF EXECUTIVE ORDER 14307-UNLEASHING MILITARY DRONE DOMINANCE",2026-04-29,2026-04-30 12:15:53
CONT_AWD_W58RGZ26F0319_9700_W58RGZ26G0056_9700,W58RGZ26F0319,EDGESOURCE CORPORATION,Department of Defense,202111.87,RECOGNIZED ASSESSOR AWARD IN SUPPORT OF DOW DRONE DOMINANCE GAUNTLET,2026-05-13,2026-06-11 09:09:02
CONT_AWD_W58RGZ26F0329_9700_W58RGZ26G0057_9700,W58RGZ26F0329,"ANDURIL INDUSTRIES, INC.",Department of Defense,679780.0,THE UNCREWED AIRCRAFT SYSTEMS (UAS) OFFICE HAS AN URGENT REQUIREMENT TO PROCURE GHOST-X UAV HARDWARE AND SERVICES.,2026-06-01,2026-06-05 12:31:58
CONT_AWD_W58RGZ26F0331_9700_W58RGZ26G0006_9700,W58RGZ26F0331,"REDWIRE DEFENSE TECH OPERATIONS, LLC",Department of Defense,1484540.0,IN SUPPORT OF EXECUTIVE ORDER 14387-UNLEASHING AMERICAN DRONE DOMINANCE THE ARMY CONTRACTING COMMAND-REDSTONE ARSENAL ESTABLISHES THIS BASIC ORDERING AGREEMENT TO PROCURE DRONES.,2026-05-02,2026-08-28 14:27:00
CONT_AWD_W58RGZ26F0332_9700_W58RGZ26G0061_9700,W58RGZ26F0332,"GRIFFON AEROSPACE, INC.",Department of Defense,67940895.16,"IN ACCORDANCE WITH THE DIRECTIVES ESTABLISHED IN THE DEPARTMENT OF WAR MEMORANDUM DATED 10 JULY 2025, IN SUPPORT OF EXECUTIVE ORDER 14307-UNLEASHING U.S. MILITARY DRONE DOMINANCE",2026-06-03,2026-09-01 15:27:58
CONT_AWD_W58RGZ26F0333_9700_W58RGZ26G0006_9700,W58RGZ26F0333,"REDWIRE DEFENSE TECH OPERATIONS, LLC",Department of Defense,15857020.0,TACTICAL UNCREWED AIRCRAFT SYSTEMS (TUAS) LONG RANGE RECONNAISSANCE (LRR) PROGRAM,2026-06-03,2026-06-04 14:45:54
CONT_AWD_W58RGZ26F0334_9700_W58RGZ26G0005_9700,W58RGZ26F0334,"AEROVIRONMENT, INC",Department of Defense,117306231.51,AWARD IN SUPPORT OF TUAS BATTALION RECONNAISSANCE UAV REQUIREMENT.,2026-06-03,2026-06-09 17:28:12
CONT_AWD_W900KK20F0057_9700_W900KK20D0006_9700,W900KK20F0057,"GRIFFON AEROSPACE, INC.",Department of Defense,202564.44,AIR DEFENSE ARTILLERY TARGETS,2020-02-24,2026-03-24 08:04:53
CONT_AWD_W900KK21F0033_9700_W31P4Q18D0029_9700,W900KK21F0033,"GRIFFON AEROSPACE, INC.",Department of Defense,6660238.61,"ORDER FOR PILOT SERVICES, FIELD SUPPORT/OPERATION FOR SMALL UNMANNED AERIAL SYSTEMS.",2021-01-19,2026-06-03 13:00:52
CONT_AWD_W900KK23F0112_9700_W900KK23D0015_9700,W900KK23F0112,"KRATOS UNMANNED AERIAL SYSTEMS, INC",Department of Defense,24749987.76,REPLACEMENT ENGINE FOR FIREJET TARGET SYSTEM.  ADVANCED SUBSCALE AERIAL PLATFORM PROGRAM.,2023-09-15,2026-05-05 09:03:27
